A066803	3177	FATO	timeout	  4010 ms
A066853	7814	FATO	timeout	  4001 ms
A066938	942	FATO	timeout	  4018 ms
A067003	10000	pass	935	 ms
A067004	10000	pass	110	 ms
A067029	10000	pass	97	 ms
A067080	10000	pass	461	 ms
A067133	61	pass	0	 ms
A067186	1000	pass	45	 ms
A067197	10000	pass	132	 ms
A067259	10000	pass	128	 ms
A067292	70	pass	23	 ms
A067319	9	pass	12	 ms
A067339	9	pass	14	 ms
A067341	10000	pass	111	 ms
A067349	10000	pass	50	 ms
A067350	10000	pass	252	 ms
A067352	23	pass	19	 ms
A067386	10000	pass	316	 ms
A067439	10000	pass	2089	 ms
A067459	10000	pass	1076	 ms
A067463	10000	pass	366	 ms
A067513	10000	pass	181	 ms
A067514	1000	pass	158	 ms
A067533	1128	pass	104	 ms
A067535	10000	pass	20	 ms
A067541	1000	pass	136	 ms
A067548	62	pass	129	 ms
A067556	19	pass	13	 ms
A067558	10000	pass	83	 ms
A067559	1000	pass	86	 ms
A067567	1000	pass	48	 ms
A067577	419	pass	47	 ms
A067578	25	pass	18	 ms
A067582	63	pass	0	 ms
A067621	14	pass	32	 ms
A067628	10001	pass	455	 ms
A067659	1001	pass	455	 ms
A067666	10000	pass	754	 ms
A067667	9	pass	11	 ms
A067691	7	pass	21	 ms
A067692	10000	pass	114	 ms
A067698	27	pass	326	 ms
A067703	27	pass	21	 ms
A067708	35	pass	654	 ms
A067722	5001	pass	1236	 ms
A067744	56	pass	32	 ms
A067774	1000	pass	71	 ms
A067786	20	pass	374	 ms
A067801	5000	pass	128	 ms
A067815	10000	pass	33	 ms
A067817	10000	pass	89	 ms
A067826	50	pass	14	 ms
A067828	10000	pass	505	 ms
A067830	10000	pass	972	 ms
A067838	1000	pass	780	 ms
A067841	39	pass	270	 ms
A067849	10000	pass	49	 ms
A067856	65536	pass	190	 ms
A067857	411	pass	131	 ms
A067868	1001	pass	39	 ms
A067893	10000	pass	272	 ms
A067962	69	pass	34	 ms
A067966	61	pass	22	 ms
A067051	2043	FATO	timeout	  4092 ms
A067075	0	FATOK	blocked	  4000 ms
A067129	130	FATO	timeout	  4013 ms
A067130	215	FATO	timeout	  4173 ms
A067143	137	FATO	timeout	  4225 ms
A067145	142	FATO	timeout	  4054 ms
A067229	184	FATO	timeout	  4189 ms
A067230	173	FATO	timeout	  4176 ms
A067232	207	FATO	timeout	  4054 ms
A067233	205	FATO	timeout	  4016 ms
A067236	5959	FATO	timeout	  4001 ms
A067238	58	FATO	timeout	  4271 ms
A067242	47	FATO	timeout	  4170 ms
A067243	60	FATO	timeout	  4057 ms
A067252	229	FATO	timeout	  4041 ms
A067261	356	FATO	timeout	  4006 ms
A067313	421	FATO	timeout	  4015 ms
A067316	311	FATO	timeout	  4023 ms
A067357	489	FATO	timeout	  4006 ms
A067382	523	FATO	timeout	  4044 ms
A067383	135	FATO	timeout	  4017 ms
A067434	1222	FATO	timeout	  4013 ms
A067464	35	FATO	timeout	  4163 ms
A067536	2519	FATO	timeout	  4003 ms
A067538	2190	FATO	timeout	  4009 ms
A067549	46	FATO	timeout	  4048 ms
A067562	38	FATO	timeout	  4153 ms
A067604	0	FATOK	blocked	  4000 ms
A067661	0	FATOK	blocked	  4000 ms
A067704	1925	FATO	timeout	  4002 ms
A067709	60	FATO	timeout	  4049 ms
A067720	1809	FATO	timeout	  4002 ms
A067760	0	FATOK	blocked	  4000 ms
A067797	46	FATO	timeout	  8042 ms
A067798	48	FATO	timeout	  8769 ms
A067808	1455	FATO	timeout	  4004 ms
A067811	1227	FATO	timeout	  4008 ms
A067819	555	FATO	timeout	  4249 ms
A067885	6348	FATO	timeout	  4013 ms
A067930	102	FATO	timeout	  4103 ms
A067934	6000	FATO	timeout	  4001 ms
A067953	202	FATO	timeout	  4009 ms
A068014	10000	pass	1820	 ms
A068017	1000	pass	76	 ms
A068019	10000	pass	549	 ms
A068061	500	pass	59	 ms
A068074	10000	pass	128	 ms
A068076	10001	pass	31	 ms
A068080	10000	pass	207	 ms
A068081	1000	pass	74	 ms
A068087	15	pass	5	 ms
A068096	18	pass	20	 ms
A068100	25	pass	12	 ms
A068101	10000	pass	42	 ms
A068189	10000	pass	21	 ms
A068190	10000	pass	34	 ms
A068202	36	pass	60	 ms
A068333	10000	pass	76	 ms
A068336	10000	pass	90	 ms
A068398	70	pass	8	 ms
A068406	10000	pass	83	 ms
A068409	43	pass	19	 ms
A068476	386	pass	291	 ms
A068486	1000	pass	32	 ms
A068503	10000	pass	94	 ms
A068505	11000	pass	43	 ms
A068550	33	pass	11	 ms
A068565	22	pass	15	 ms
A068576	10000	pass	326	 ms
A068597	10000	pass	2589	 ms
A068639	10001	pass	29	 ms
A068780	10000	pass	34	 ms
A068781	10000	pass	77	 ms
A068872	1000	pass	250	 ms
A068903	1000	pass	17	 ms
A068904	10000	pass	84	 ms
A068905	1000	pass	11	 ms
A068919	10000	pass	55	 ms
A068942	21	pass	111	 ms
A068953	10000	pass	112	 ms
A068958	9997	pass	550	 ms
A068963	1000	pass	16	 ms
A068970	10000	pass	62	 ms
A068984	10000	pass	72	 ms
A068989	1000	pass	53	 ms
A068119	3289	FATO	timeout	  4733 ms
A068206	11	FATO	timeout	  4712 ms
A068208	207	FATO	timeout	  4005 ms
A068306	1266	FATO	timeout	  4023 ms
A068307	12227	FATO	timeout	  4004 ms
A068329	284	FATO	timeout	  4028 ms
A068356	810	FATO	timeout	  4001 ms
A068361	4769	FATO	timeout	  4008 ms
A068399	233	FATO	timeout	  4052 ms
