aseqno	info
A071549	a(n)=(7n)!/n!^7
A072191	a(n)=a(n-1)^2+2
A073701	a(n)=n^2*a(n-1)+(-1)^n
A074702	a(n)=((n+1)^2*(n-1)*a(n-1)+(-1)^(n+1))/n
A076113	a(n)=n^(n*(n-1)/2)
A076728	a(n)=(n-1)^2*n^(n-2)
A076781	a(n)=6^(n^2)
A076782	a(n)=10^(n^2)
A076783	a(n)=11^(n^2)
A077458	a(n)=(a(n-1)*a(n-2)+a(n-2)*a(n-3)+1)/a(n-4)
A077585	a(n)=2^(2^n-1)-1
A078918	a(n)=(a(n-1)+a(n-3))*a(n-2)/a(n-4)
A079288	a(n)=(3^n)!
A079929	a(n)=(3*n+1)!/(n!*3^n)
A080252	a(n)=n*a(n-1)+4*a(n-2)-4*(n-2)*a(n-3)
A080275	a(n)=(-1)^n(1-(1/12)n(n+1)(12-n+n^2))
A080290	a(n)=n^n(n+2-(1/12)(n^2-1))
A080291	a(n)=(-1)^(n+1)n^n(n+(1/12)(n^2-1))
A080523	a(n)=n^n-n(n-1)/2
A081215	a(n)=(n^(n+1)+(-1)^n)/(n+1)^2
A081216	a(n)=(n^n-(-1)^n)/(n+1)
A082033	a(n)=(3n+1)*n!
A082034	a(n)=(4*n+1)*n!
A082035	a(n)=(4n^2+2n+1)*n!
A082036	a(n)=(9*n^2+3*n+1)*n!
A082368	a(n)=(4*n-1)!/(n!*n!*n!*(n-1)!*3!)
A083063	a(n)=(n+1)^(n-1)/(n+2)+(-1)^n/(n+2)
A083272	a(n)=n
A083304	a(n)=(4*(n+5)^n+n^n)/5
A083306	a(n)=(4*(n+15)^n+n^n)/5
A083307	a(n)=(4*n^n+(n-10)^n)/5
A083308	a(n)=(4*(n+1)^n+(n-9)^n)/5
A083727	a(n)=n*(2^n-8)
A083813	a(n)=3*(10^n-1)
A084259	a(n)=n!*(n+1)!*(n+2)!
A084915	a(n)=(n!)^2*n
A085377	a(n)=15n^2+13n^3
A085389	a(n)=(n(n+1)^(n-1)+0^n)/(n+1)
A085525	a(n)=n^(2*n+2)
A085526	a(n)=n^(2n+1)
A085527	a(n)=(2n+1)^n
A085528	a(n)=(2n+1)^(n+1)
A085531	a(n)=(2*n+1)^(2*n-1)
A085534	a(n)=(2n)^(2n)
A085535	a(n)=(2n)^(2n-1)
A085536	a(n)=(3n)^(3n)
A086945	a(n)=7*10^n-9
A087216	a(n)=(6n)!/((3n)!(2n)!2^n)
A087323	a(n)=(n+1)*2^n-1
A087817	a(n)=a(a(a(n-1)))+a(n-a(n-1))
A087842	a(n)=a(a(a(n-a(n-1))))+a(n-a(n-2))
A088020	a(n)=(n^2)!
A088021	a(n)=(n^2)!/(n!)^2
A088979	a(n)=n!-((n-1)!!)^2
A088984	a(n)=(n!!)^2-n!
A089043	a(n)=n!^2+(-1)^n
A089143	a(n)=9*2^n-6
A089205	a(n)=n^n*(n-1)
A089207	a(n)=4n^3+2n^2
A090443	a(n)=(n+2)!*(n+1)!*n!/2
A090672	a(n)=(n^2-1)*n!/3
A090763	a(n)=(3*n+3)!/(3*n!*(2*n+2)!)
A090816	a(n)=(3*n+1)!/((2*n)!*n!)
