A001352	1,6	1,-4,1
A001353	0,1	1,-4,1
A001354	1,4,1	1,-3,1
A001361	0,-1,-232,-24508,-107224,-133510,-55384,-7228,-232,-1	-1,9,-36,84,-126,126,-84,36,-9,1
A001362	1	1,-1,-1,1,-1,1,1,-1,0,0,-1,1,1,-1,1,-1,-1,1
A001364	1	1,-1,-1,1,-1,1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,-2,2,-2,2,2,-2,0,0,0,0,-2,2,2,-2,2,-2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,1,-1,-1,1,-1,1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-1,1
A001386	1,8,14,8,1	1,-4,6,-4,1
A001399	1	1,-1,-1,0,1,1,-1
A001400	1	1,-1,-1,0,0,2,0,0,-1,-1,1
A001401	1	1,-1,-1,0,0,1,1,1,-1,-1,-1,0,0,1,1,-1
A001402	1	1,-1,-1,0,0,1,0,2,0,-1,-1,-1,-1,0,2,0,1,0,0,-1,-1,1
A001445	0,0,3,-1,-6	1,-2,-2,4
A001477	0,1	1,-2,1
A001478	0,-1	1,-2,1
A001489	0,-1	1,-2,1
A001496	1,14,87,148,87,14,1	1,-10,45,-120,210,-252,210,-120,45,-10,1
A001505	6,186,186,6	1,-4,6,-4,1
A001512	24,2904,9144,2904,24	1,-5,10,-10,5,-1
A001513	-5,-62,-5	-1,3,-3,1
A001519	1,-2	1,-3,1
A001520	15,633,633,15	1,-4,6,-4,1
A001535	9,182,9	1,-3,3,-1
